Unnamed: 0,manoeuvres_01_paddling,manoeuvres_02_drop,manoeuvres_03_straight_ahead,manoeuvres_04_wall_riding,manoeuvres_05_floater,manoeuvres_06_cut_back,manoeuvres_07_rasgada,manoeuvres_08_off_the_lip,manoeuvres_09_tube,manoeuvres_10_air,surfer_experience
45,Sempre consigo,Sempre consigo,As vezes eu consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
46,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Avançado
47,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,,Avançado
48,Consigo normalmente,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Iniciante
49,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
50,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Intermediário
52,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Sempre consigo,Sempre consigo,As vezes eu consigo,Ainda não consigo,Avançado
53,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,Consigo normalmente,Ainda não consigo,Ainda não consigo,Avançado
54,Sempre consigo,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Iniciante
55,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Intermediário
56,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Consigo normalmente,Consigo normalmente,Sempre consigo,Ainda não consigo,Ainda não consigo,Avançado
57,Sempre consigo,Sempre consigo,,Sempre consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
58,Consigo normalmente,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Iniciante
59,Consigo normalmente,Consigo normalmente,Sempre consigo,Consigo normalmente,Ainda não consigo,Ainda não consigo,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
60,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Ainda não consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
61,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Avançado
62,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Avançado
63,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Intermediário
64,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
65,Consigo normalmente,Consigo normalmente,,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,,Intermediário
66,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,Ainda não consigo,Intermediário
67,Consigo normalmente,Consigo normalmente,,As vezes eu consigo,Ainda não consigo,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Intermediário
68,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Não sei,Ainda não consigo,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
69,Sempre consigo,Sempre consigo,,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,Ainda não consigo,Avançado
70,Consigo normalmente,As vezes eu consigo,Consigo normalmente,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Ainda não consigo,Intermediário
71,Consigo normalmente,Consigo normalmente,,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,As vezes eu consigo,Não sei,Avançado
73,Sempre consigo,Consigo normalmente,Sempre consigo,Consigo normalmente,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Consigo normalmente,Não sei,Não sei,Intermediário
74,Sempre consigo,Sempre consigo,Sempre consigo,Sempre consigo,As vezes eu consigo,Ainda não consigo,As vezes eu consigo,Sempre consigo,Ainda não consigo,Ainda não consigo,Intermediário
75,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Consigo normalmente,Avançado
76,Sempre consigo,Consigo normalmente,Sempre consigo,Consigo normalmente,Ainda não consigo,As vezes eu consigo,As vezes eu consigo,As vezes eu consigo,Não sei,Não sei,Intermediário
77,As vezes eu consigo,Consigo normalmente,,Consigo normalmente,Ainda não consigo,As vezes eu consigo,Ainda não consigo,As vezes eu consigo,Ainda não consigo,Ainda não consigo,Intermediário
